patch_id,audit_row_number,deck,citizen_level,source_row,front,front_original,back_original,current_back,current_flags,docker_safe_back,docker_safe_flags,docker_final_back,docker_final_flags,recommended_choice,choice,custom_back,custom_flags,notes
BP0001,10152,Blue,6,1,להניח,להניח,to put,to put,needs_italian_review,mettere; posare,,mettere; posare,semantic_review,docker_safe,,,,
BP0002,10153,Blue,6,2,מבצע,מבצע,operation,operation,needs_italian_review,operazione (f.); azione (f.),,,missing_from_docker_final,docker_safe,,,,
BP0003,10154,Blue,6,3,מבוכה,מבוכה,embarrassment,embarrassment,needs_italian_review,imbarazzo (m.); confusione (f.),,imbarazzo (m.); confusione (f.),semantic_review,docker_safe,,,,
BP0004,10155,Blue,6,4,פינוק,פינוק,indulgence,indulgence,needs_italian_review,indulgenza (f.); gratificazione (f.),,,missing_from_docker_final,docker_safe,,,,
BP0005,10157,Blue,6,6,עומק,עומק,depth,depth,needs_italian_review,profondità (f.),,profondità (f.),semantic_review,docker_safe,,,,
BP0006,10158,Blue,6,7,לנחש,לנחש,to guess,to guess,needs_italian_review,indovinare; supporre,,indovinare; supporre,semantic_review,docker_safe,,,,
BP0007,10159,Blue,6,8,לשקוע,לשקוע,to sink,to sink,needs_italian_review,affondare; sprofondare,,affondare; sprofondare,semantic_review,docker_safe,,,,
BP0008,10160,Blue,6,9,לשלוט,לשלוט,to control,to control,needs_italian_review,controllare; dominare,,controllare; dominare,semantic_review,docker_safe,,,,
BP0009,10161,Blue,6,10,להסיע,להסיע,to drive someone,to drive someone,needs_italian_review,guidare qualcuno; condurre qualcuno,,,missing_from_docker_final,docker_safe,,,,
BP0010,10162,Blue,6,11,לשאוב אבק,לשאוב אבק,to vacuum,to vacuum,needs_italian_review,aspirare; pulire con l'aspirapolvere,,aspirare; pulire con l'aspirapolvere,semantic_review,docker_safe,,,,
BP0011,10163,Blue,6,12,עומס,עומס,burden,burden,needs_italian_review,carico (m.); peso (m.),,carico,,docker_safe,,,,
BP0012,10164,Blue,6,13,לארח,לארח,to host,to host,needs_italian_review,ospitare; alloggiare,,ospitare; alloggiare,semantic_review,docker_safe,,,,
BP0013,10165,Blue,6,14,להתארח,להתארח,to be hosted,to be hosted,needs_italian_review,essere ospitato; alloggiare,,essere ospitato; alloggiare,semantic_review,docker_safe,,,,
