"status","flags","citizen_level","citizen_color","deck","source_deck","source","source_file","source_row","front","back","front_original","back_original"
"ok_candidate","","1","red","Red","Citizen Cafe Red Level","citizen_cafe_review_zip","citizen_cafe_batch_ebraico_italiano_completo.zip","424","אתה","tu (masch. sing.)","אתה","tu (masch. sing.)"
"ok_candidate","","1","red","Red","Citizen Cafe Red Level","citizen_cafe_review_zip","citizen_cafe_batch_ebraico_italiano_completo.zip","425","את","tu (femm. sing.)","את","tu (femm. sing.)"
"ok_candidate","","1","red","Red","Citizen Cafe Red Level","citizen_cafe_review_zip","citizen_cafe_batch_ebraico_italiano_completo.zip","426","הוא","lui","הוא","lui"
"ok_candidate","","1","red","Red","Citizen Cafe Red Level","citizen_cafe_review_zip","citizen_cafe_batch_ebraico_italiano_completo.zip","427","היא","lei","היא","lei"
"ok_candidate","","1","red","Red","Citizen Cafe Red Level","citizen_cafe_review_zip","citizen_cafe_batch_ebraico_italiano_completo.zip","428","אנחנו","noi","אנחנו","noi"
"ok_candidate","","1","red","Red","Citizen Cafe Red Level","citizen_cafe_review_zip","citizen_cafe_batch_ebraico_italiano_completo.zip","429","אתם","voi (masch. plur.)","אתם","voi (masch. plur.)"
"ok_candidate","","1","red","Red","Citizen Cafe Red Level","citizen_cafe_review_zip","citizen_cafe_batch_ebraico_italiano_completo.zip","430","אתן","voi (femm. plur.)","אתן","voi (femm. plur.)"
"ok_candidate","","1","red","Red","Citizen Cafe Red Level","citizen_cafe_review_zip","citizen_cafe_batch_ebraico_italiano_completo.zip","431","הם","loro (masch. plur.)","הם","loro (masch. plur.)"
"ok_candidate","","1","red","Red","Citizen Cafe Red Level","citizen_cafe_review_zip","citizen_cafe_batch_ebraico_italiano_completo.zip","432","הן","loro (femm. plur.)","הן","loro (femm. plur.)"
"ok_candidate","","1","red","Red","Citizen Cafe Red Level","citizen_cafe_review_zip","citizen_cafe_batch_ebraico_italiano_completo.zip","433","מה","che cosa / cosa","מה","che cosa / cosa"
"ok_candidate","","1","red","Red","Citizen Cafe Red Level","citizen_cafe_review_zip","citizen_cafe_batch_ebraico_italiano_completo.zip","434","מי","chi","מי","chi"
"ok_candidate","","1","red","Red","Citizen Cafe Red Level","citizen_cafe_review_zip","citizen_cafe_batch_ebraico_italiano_completo.zip","435","למה","perché","למה","perché"
"ok_candidate","","1","red","Red","Citizen Cafe Red Level","citizen_cafe_review_zip","citizen_cafe_batch_ebraico_italiano_completo.zip","436","למה לא","perché no","למה לא","perché no"
"ok_candidate","","1","red","Red","Citizen Cafe Red Level","citizen_cafe_review_zip","citizen_cafe_batch_ebraico_italiano_completo.zip","437","כמה","quanto / quanti","כמה","quanto / quanti"
"ok_candidate","","1","red","Red","Citizen Cafe Red Level","citizen_cafe_review_zip","citizen_cafe_batch_ebraico_italiano_completo.zip","438","מתי","quando","מתי","quando"
"ok_candidate","","1","red","Red","Citizen Cafe Red Level","citizen_cafe_review_zip","citizen_cafe_batch_ebraico_italiano_completo.zip","439","איפה","dove?","איפה","dove?"
"ok_candidate","","1","red","Red","Citizen Cafe Red Level","citizen_cafe_review_zip","citizen_cafe_batch_ebraico_italiano_completo.zip","440","מאיפה","da dove","מאיפה","da dove"
"review","translation_language_mixed","1","red","Red","Citizen Cafe Red Level","citizen_cafe_review_zip","citizen_cafe_batch_ebraico_italiano_completo.zip","441","מאיפה אתה","dove? are tu (masch. sing.) from","מאיפה אתה","dove? are tu (masch. sing.) from"
"review","translation_language_mixed","1","red","Red","Citizen Cafe Red Level","citizen_cafe_review_zip","citizen_cafe_batch_ebraico_italiano_completo.zip","442","אני מניו יורק","io m from new york","אני מניו יורק","io m from new york"
"review","translation_language_mixed","1","red","Red","Citizen Cafe Red Level","citizen_cafe_review_zip","citizen_cafe_batch_ebraico_italiano_completo.zip","443","היאמתל אביב","lei is from tel aviv","היאמתל אביב","lei is from tel aviv"
