component_name,repository_path,purpose,status,disposition,confidence,implementation_maturity,scientific_maturity,test_coverage,dependencies,coupling,known_defects,security_notes,migration_notes
MPE Runtime,packages/mpe/src/mpe/runtime.py,Event-sourced protocol runtime,Authoritative core,KEEP,HIGH,PRODUCTION,PARTIALLY SUPPORTED,High,dataclasses,Low,None,None,Core of V2
MPE Event Model,packages/mpe/src/mpe/events.py,Canonical event envelope and 27 event types,Authoritative core,KEEP,HIGH,PRODUCTION,VALIDATED,High,mpe.enums mpe.types,Low,None,None,Core of V2
MPE Event Store,packages/mpe/src/mpe/event_store.py,Append-only in-memory event store,Authoritative core,KEEP,HIGH,PRODUCTION,VALIDATED,High,mpe.events mpe.validation,Low,No persistent backend by default,None,Add PostgreSQL/SQLite backends
MPE Replay,packages/mpe/src/mpe/replay.py,Deterministic event-stream replay,Authoritative core,KEEP,HIGH,PRODUCTION,VALIDATED,High,mpe.aggregates,Low,None,None,Core of V2
Immediate Recall,packages/mpe/src/mpe/protocol/immediate_recall.py,Closed-loop protocol runner,Library only,KEEP,HIGH,PRODUCTION,PARTIALLY SUPPORTED,High,MPE runtime/providers/cognitive_state/adaptation,Medium,Adaptation in shadow mode,None,Wire into V2 API/UI
Cognitive State Estimator,packages/mpe/src/mpe/protocol/cognitive_state.py,Behavior-primary load estimation,Implemented,KEEP,HIGH,PRODUCTION,HYPOTHESIS,High,mpe.enums,Low,Thresholds not validated,None,Validate in V2 pilots
Adaptation Policy,packages/mpe/src/mpe/protocol/adaptation_policy.py,Bounded response-deadline policy,Implemented,KEEP,HIGH,PRODUCTION,HYPOTHESIS,High,mpe.cognitive_state mpe.enums,Low,Defaults to SHADOW_MODE,None,Activate after validation
Trial Pipeline,packages/mpe/src/mpe/protocol/trial_pipeline.py,Domain-agnostic trial event flow,Authoritative,KEEP,HIGH,PRODUCTION,VALIDATED,High,mpe.runtime mpe.providers,Low,None,None,Reuse as-is
Hebrew Domain Adapter,packages/mpe/src/mpe/domains/hebrew/adapter.py,Hebrew immediate-recall adapter,Production,KEEP,HIGH,PRODUCTION,VALIDATED,Good,mpe.domain.base hebrew.models,Low,None,None,Reuse as adapter
HeLP Integration,packages/mpe/src/mpe/domains/hebrew/help/,HeLP norms loader/repository,Production,KEEP,HIGH,PRODUCTION,VALIDATED,Good,CSV/JSON,Low,Data files may be absent,None,Reuse as adapter source
Hebrew Linguistic Engine,hebrew/,Multi-source conjugation/pronunciation,Active,KEEP,HIGH,PRODUCTION,VALIDATED,Good,phonikud optional,Medium,Some license uncertainty,None,Keep as package
Mantra Phase 1 Engine,mantra/phase1/,Hebrew verb audio production,Active,KEEP,HIGH,PRODUCTION,VALIDATED,Good,numpy wave TTS,Medium,Requires SpeechGen creds,None,Reuse audio pipeline
Mantra Curriculum,mantra/phase1/curriculum.py,320-verb selection policy,Active,KEEP,HIGH,PRODUCTION,VALIDATED,Good,data/hebrew/curriculum_v1_320.json,Low,None,None,Reuse
server.py,server.py,HTTP orchestration server,Active,REWRITE,HIGH,PRODUCTION,PARTIALLY SUPPORTED,Unknown,oura_api help_profiler MLF,High,Pi bridge dirs missing,Exposes Oura routes,Split into API + services
app.js/index.html/styles.css,app.js index.html styles.css,Desktop web UI,Active,REWRITE,HIGH,PRODUCTION,N/A,None,None,High,6896-line JS monolith,None,Modular SPA for V2
oura_api.py,oura_api.py,Oura OAuth2 + daily fetch,Active,MIGRATE,HIGH,PRODUCTION,VALIDATED,Unknown,urllib http.server,Low,Tokens stored plaintext,Root .oura_credentials has live secret,Encrypt tokens rotate secret
help_profiler.py,help_profiler.py,HeLP norms + personal profiler,Active,KEEP,HIGH,PRODUCTION,VALIDATED,Good,csv sqlite3,Low,None,Personal profile SQLite,Reuse
FC11 BLE Capture,mindtune_capture/fc11_mac_capture.py,macOS BLE EEG capture,Active,MIGRATE,HIGH,PRODUCTION,VALIDATED,Good,bleak protobuf,Medium,macOS only,BLE pairing fixed UUID,Abstract BLE for V2
FC11 Pipeline,mindtune_capture/fc11_capture_pipeline.py,Async bounded queue processing,Active,KEEP,HIGH,PRODUCTION,VALIDATED,Good,asyncio csv,Low,None,None,Reuse
LSL Bridge,mindtune_capture/lsl_bridge.py,Lab Streaming Layer outlet,Optional,KEEP,HIGH,PRODUCTION,VALIDATED,Good,pylsl optional,Low,None,None,Reuse
Scientific QC,mindtune_capture/scientific_qc.py,EEG quality control,Active,KEEP,HIGH,PRODUCTION,VALIDATED,Good,statistics math,Low,None,None,Reuse
Scientific Spectral,mindtune_capture/scientific_spectral.py,PSD and band powers,Active,KEEP,HIGH,PRODUCTION,VALIDATED,Good,math,Low,None,None,Reuse
FocusCalm RE Packet,FOCUSCALM_ZAI_AUDIT_PACKET_2026-07-19/,Native parity reverse engineering,Reference,ARCHIVE,MEDIUM,PROTOTYPE,PARTIALLY SUPPORTED,Medium,numpy tensorflow,Low,Signal chain not verified end-to-end,None,Extract findings then archive
BlueTTS Repo,repos/BlueTTS/,ONNX TTS experiment,Unused,ARCHIVE,MEDIUM,PROTOTYPE,UNSUPPORTED,None,ONNX Runtime,High,Not integrated,None,Archive
HebTTS Repo,repos/HebTTS/,VALLe Hebrew TTS,Unused,ARCHIVE,MEDIUM,PROTOTYPE,PARTIALLY SUPPORTED,None,tokenizers,High,Not integrated,None,Archive
Backup Copies,mindtune_console_BACKUP_* mindtune_eeg_github_recovery/ mindtune_rescue/,Obsolete copies,Obsolete,ARCHIVE/DISCARD,HIGH,LEGACY,N/A,N/A,None,None,May contain old credentials,Risk of leaked secrets,Verify then archive
