data_asset,path,type,generated,license,owner,sensitive,notes
320-verb curriculum,mindtune_console/data/hebrew/curriculum_v1_320.json,JSON,true,CC BY 4.0 derived,Hebrew domain,No,Canonical verb list
Approved verb specs,mindtune_console/data/hebrew/approved/,JSON,false,Internal,Hebrew domain,No,Human-approved fixtures
Gold verb fixtures,mindtune_console/data/hebrew/gold_verbs/,JSON,false,Internal,Hebrew domain,No,3 verbs: laasot lichtenov lihyot
Hebrew source registry,mindtune_console/data/hebrew/source_registry.json,JSON,false,N/A,Hebrew domain,No,8 sources with eligibility tiers
Hebrew source policy,mindtune_console/data/hebrew/SOURCE_POLICY.md,Markdown,false,N/A,Hebrew domain,No,5 eligibility tiers
Eran Tomer verbs,mindtune_console/data/hebrew/resources/eran_tomer/,CSV/JSON,false,CC BY 4.0,Hebrew domain,No,production_approved
Pealim tables,mindtune_console/data/hebrew/resources/pealim/,JSON,false,Unknown,Hebrew domain,No,reference_only
SVLM corpus,mindtune_console/data/hebrew/resources/svlm/,TXT,false,CC-BY-SA-3.0,Hebrew domain,No,private_research_only
Verb Inflector,mindtune_console/data/hebrew/resources/verb_inflector/,Java/JSON,false,Apache-2.0,Hebrew domain,No,production_approved
Audio profiles,mindtune_console/data/audio_profiles/,JSON,false,Internal,Mantra,No,Voice configs
Mantra scripts,mindtune_console/data/mantra/scripts/,JSON,false,Internal,Mantra,No,3 verb scripts
Mantra audio,mindtune_console/data/mantra/audio/,MP3/WAV,true,Internal,Mantra,No,Pre-generated assets
Global TTS cache,mindtune_console/output/mantra_global_tts_cache/,WAV,true,Internal,Mantra,No,Deterministic cache
Audio asset registry,mindtune_console/output/mantra_audio_assets.json,JSON,true,Internal,Mantra,No,Asset_id to cache mapping
MPE event store SQLite,mindtune_console/packages/mpe/persistence/store.py,SQLite,true,Internal,MPE,No,Experimental persistent backend
FC11 session CSV,mindtune_capture/*/samples.csv,CSV,true,Internal,EEG capture,Yes,Raw EEG samples
FC11 quality JSON,mindtune_capture/*/quality.json,JSON,true,Internal,EEG capture,No,Session QC summary
Oura token,mindtune_console/.oura_token,JSON,true,Internal,Oura integration,Yes,Plaintext OAuth tokens
Oura credentials,mindtune_console/.oura_credentials.example,JSON,false,N/A,Oura integration,No,Example placeholder
