match_id,source_id,canonical_item_id,deck,hebrew,italian,match_type,match_confidence,context_excerpt,review_status
streetwise_match_1760d154db8043c0,streetwise_episode_c5a793cc6add20cc,cclex_760bbb136df1ba62,Dark Green,השאר,il resto,exact_lexical_entry,high,Ha-she'ar – The rest – השאר,draft_unverified
streetwise_match_5f48c64519e48fae,streetwise_episode_43847b7829fca76f,cclex_2ceed0d7bd968853,Orange,לסיים,finire,exact_lexical_entry,high,Lesayem – To finish – לסיים,draft_unverified
streetwise_match_0e4560c293523590,streetwise_episode_43847b7829fca76f,cclex_62c93fb059b706d2,Dark Green,להיגמר,finire / essere finito,exact_lexical_entry,high,Lehigamer – To be finished – להיגמר,draft_unverified
streetwise_match_90c78810c727dde7,streetwise_episode_665ab99df6d0c826,cclex_7cdce1bc83aa9bec,Lime,לסמוך על,fidarsi,normalized_hebrew_phrase,medium,סמוך עליי סמוך לסמוך על מישהו תסמוך עליי סמוך עליי תסמכי עליי סמכי עליי תסמכו עליי סמכו עליי ילקוט הכזבים אל תדאג...,draft_unverified
streetwise_match_90f3937600e41818,streetwise_episode_665ab99df6d0c826,cclex_e7cc047b152670b3,Green,מסמך,documento,exact_lexical_entry,high,Mismach – Document – מסמך,draft_unverified
streetwise_match_e3334f5719fc5520,streetwise_episode_665ab99df6d0c826,cclex_e5213bfaedccf00f,Indigo,לסמוך על,fidarsi di qualcuno,normalized_hebrew_phrase,medium,סמוך עליי סמוך לסמוך על מישהו תסמוך עליי סמוך עליי תסמכי עליי סמכי עליי תסמכו עליי סמכו עליי ילקוט הכזבים אל תדאג...,draft_unverified
streetwise_match_94e5f71d7a073fe0,streetwise_episode_665ab99df6d0c826,cclex_9b44eb2a865680e5,Purple,סמכות,autorità (f.); potere (m.),exact_lexical_entry,high,Samchoot – Authority – סמכות,draft_unverified
streetwise_unmatched_91ac42faf2b774a6,streetwise_episode_f807b6784b2abc56,,,,,unmatched_hebrew_page,low,"The root חבב, which gives us the word חביבי, is all about affection. Guy explains what it's got to do with gay Tel Avivi speech and Ashdod in the 80's.",source_only
streetwise_match_b252307a669877fe,streetwise_episode_88977d3703e73eda,cclex_fea7c3cdde42aa98,Orange,מזג אוויר,tempo / meteo,exact_lexical_entry,high,Mezeg avir – Weather – מזג אוויר,draft_unverified
streetwise_match_bedd10b7244ec1f7,streetwise_episode_88977d3703e73eda,cclex_82ad9d0543b88cda,Yellow,מזגן,aria condizionata,exact_lexical_entry,high,Mazgan – Air conditioning – מזגן,draft_unverified
streetwise_unmatched_2b7a60ec104bcd09,streetwise_episode_27a43b1c6e20d643,,,,,unmatched_hebrew_page,low,"Oftentimes, Israelis mix up the Hebrew words משכיר and שוכר. It's the difference between ""renting"" an apartment and ""renting out"" an apartment. It's a common mistake that you don't",source_only
streetwise_unmatched_ae37a23d51993e84,streetwise_episode_5a385bb684b2956e,,,,,unmatched_hebrew_page,low,"The Hebrew word נצלן is an exploiter – someone who'll use you and then dump you without giving it a second thought. In this episode, Guy breaks down the word and its root נצל.",source_only
streetwise_unmatched_0fd6996323138550,streetwise_episode_5b12c19094f83dd6,,,,,unmatched_hebrew_page,low,"The Hebrew word פרישה means retirement, and these days פרישה המוקדמת is on everyone's mind. Guy explains פרישה and other words from its root פרש.",source_only
streetwise_unmatched_65f549e4b1856561,streetwise_episode_80be4558da8e0b8d,,,,,unmatched_hebrew_page,low,"From leaking documents to a leaky faucet at home, the root דלפ is an interesting one, and from which we get the Hebrew word for whistleblower.",source_only
streetwise_unmatched_17e4e713b07bd4bf,streetwise_episode_fe2c6d815bd88b8f,,,,,unmatched_hebrew_page,low,"The Hebrew word לברוח means to escape, but the same root has other interesting meanings in other verb formats. Guy also explains the meaning of חדר בריחה.",source_only
streetwise_match_fd2c8edb210818d4,streetwise_episode_b5e6039b6d3bcfd9,cclex_e5d750abcc376a7c,Blue,4 יתרון / יתרונות,vantaggio (m.); privilegio (m.),exact_lexical_entry,high,"Yitaron, yitronot (pl.) – Advantage – יתרון, יתרונות",draft_unverified
streetwise_match_9339f88504c31874,streetwise_episode_6abc11bb705612ad,cclex_a87f63d093781cb2,Blue,לקבל,ricevere; accogliere,exact_lexical_entry,high,Lekabel – To receive – לקבל,draft_unverified
streetwise_match_7f37153797eb3ce5,streetwise_episode_6abc11bb705612ad,cclex_139238f5081d2f7c,Lime,לקבל,ricevere (infinito),exact_lexical_entry,high,Lekabel – To receive – לקבל,draft_unverified
streetwise_match_bff46700e96edd8d,streetwise_episode_6abc11bb705612ad,cclex_0091da95faf70770,Dark Green,לקבל,ricevere; accettare,exact_lexical_entry,high,Lekabel – To receive – לקבל,draft_unverified
streetwise_unmatched_350caa8787e58588,streetwise_episode_6ca15a543d38c8b4,,,,,unmatched_hebrew_page,low,"The Hebrew word גירוש means expulsion and deportation, but the most commonly used word we get from this root is entirely different. Guy explains.",source_only
streetwise_unmatched_011a0ab2ee4c1739,streetwise_episode_8654ff9f6ec23e6a,,,,,unmatched_hebrew_page,low,"The Hebrew word קבלה has many meanings and uses, from receipts to acceptance. Guy explains how to use קבלה in its many forms and its plural.",source_only
streetwise_unmatched_0896c7543d4d78bb,streetwise_episode_2b760c3a1160fe01,,,,,unmatched_hebrew_page,low,"The word זול means cheap and is used in spoken Hebrew in all kinds of interesting ways. For example, what's זיל הזול? Guy explains.",source_only
streetwise_match_a13f861319e54586,streetwise_episode_5fc9b2def496c206,cclex_38c485a1f04f6d74,Blue,מבצע,operazione (f.); azione (f.),exact_lexical_entry,high,Mivtsa – Military operation – מבצע,draft_unverified
streetwise_match_ce164de1dd24424e,streetwise_episode_5fc9b2def496c206,cclex_6f4b6a4c3969305f,Lime,היא הולכת,lei - presente di andare,normalized_hebrew_phrase,medium,...שלנו ביצוע יש עוד ביצוע לשיר הזה השיר טוב הביצוע פחות הביצועים של העובד ת לבצע את ההעברה היא הולכת לבצע עכשיו תרגיל מסובך מבצע מבצעת מבצעים בביצוע התזמורת הפילהרמונית של וינה בוצע להת,draft_unverified
streetwise_match_e7697efd3173f79c,streetwise_episode_5fc9b2def496c206,cclex_0280f33b2ce97057,Indigo,מבצע,promozione / saldo; campagna o operazione militare,exact_lexical_entry,high,Mivtsa – Military operation – מבצע,draft_unverified
