canonical_item_id,deck,citizen_level,hebrew,italian,quality_flags,streetwise_match_count,consolidation_score,consolidation_tier,evidence_sources,review_reasons,source_map_ref
cclex_1b7321a59b0ab7ac,Blue,6,₪ חיסרון / חסרונות,svantaggio (m.); difetto (m.),mojibake_or_extraction_symbol,0,20,quarantine,citizen_cafe_source_lineage|citizen_cafe_text_export_import,blocking_quality_flag,src_005510ce828549e2
cclex_352d3ffc2927d07f,Purple,12,שלל ה... ₪5 (= הרבה),un'abbondanza di; molti,mojibake_or_extraction_symbol,0,20,quarantine,citizen_cafe_source_lineage|citizen_cafe_text_export_import,blocking_quality_flag,src_61c8d09b4d81f8b0
cclex_4e366fc3b30383ec,Purple,12,₪ לחלוץ נעליים,togliersi le scarpe; calzarsi,mojibake_or_extraction_symbol,0,20,quarantine,citizen_cafe_source_lineage|citizen_cafe_text_export_import,blocking_quality_flag,src_8d456c7706a28a8d
cclex_7915caee3258f48d,Purple,12,"₪ עז, עזה",forte; intenso; potente,mojibake_or_extraction_symbol,0,20,quarantine,citizen_cafe_source_lineage|citizen_cafe_text_export_import,blocking_quality_flag,src_8f361c7cf4f44040
cclex_8de85398bb18ad44,Purple,12,ליקוי ₪5 (=תקלה),menomazione (f.); difetto (m.),mojibake_or_extraction_symbol,0,20,quarantine,citizen_cafe_source_lineage|citizen_cafe_text_export_import,blocking_quality_flag,src_5adefde0bb11b287
cclex_a0a19482b3b49b94,Purple,12,לרכוש ₪5 את,acquisire; comprare; acquistare,mojibake_or_extraction_symbol,0,20,quarantine,citizen_cafe_source_lineage|citizen_cafe_text_export_import,blocking_quality_flag,src_47544078ec4dd8f6
cclex_ed5d53924a5c0466,Purple,12,₪ קלות,un po'; poco; un tantino,mojibake_or_extraction_symbol,0,20,quarantine,citizen_cafe_source_lineage|citizen_cafe_text_export_import,blocking_quality_flag,src_5f51b76f671cc3ad
cclex_5ad89e19f1b5f5e7,Purple,12,₪ להרים את,sollevare il morale; incoraggiare,mojibake_or_extraction_symbol,0,20,quarantine,citizen_cafe_source_lineage|citizen_cafe_text_export_import,blocking_quality_flag,src_485f1f6ca22270a3
cclex_8f5f22c710ff4e9b,Purple,12,:₪ להמחיש,illustrare; chiarire con esempi,mojibake_or_extraction_symbol,0,20,quarantine,citizen_cafe_source_lineage|citizen_cafe_text_export_import,blocking_quality_flag,src_ae990fc7ec32bd10
cclex_3cccc2abad2e9247,Purple,12,₪ בלתי,920) 'N'72,mojibake_or_extraction_symbol|semantic_review|suspicious_translation_payload,0,20,quarantine,citizen_cafe_source_lineage|citizen_cafe_text_export_import,blocking_quality_flag,src_1637eb6a7af06fea
cclex_c156d60af59b43a7,Purple,12,₪ בשל,ra; sole (m.),mojibake_or_extraction_symbol,0,20,quarantine,citizen_cafe_source_lineage|citizen_cafe_text_export_import,blocking_quality_flag,src_72e32cc25cac92a3
